Time, Altitude - m, Altitude - ft, SpeedofSound - ft/sec, AirDensity - slug/ft3,TransVel - ft/sec,Mach, AoA - rad, AoA - deg, AoS - rad, AoS - deg, u_NED, v_NED, w_NED, u_NED - ft/sec, v_NED - ft/sec, w_NED - ft/sec, phi_rad, theta_rad, psi_rad, phi_deg, theta_deg, psi_deg, roll_rate, pitch_rate, yaw_rate, roll_rate - deg, pitch_rate - deg, yaw_rate - deg 
0.0000000000,9146.3414634146,30000.0000000000,994.5618053589,0.0008911192,0.0000000002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000003,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1745329252,0.3490658504,0.5235987756,10.0050721452,20.0101442904,30.0152164356
0.0100000000,9146.3409744901,29999.9983963276,994.5618122447,0.0008911192,0.1900782093,0.0003224882,-1.5673063558,-89.8455872733,0.0017497082,0.1003017413,0.0000000001,0.0000000000,0.0977849048,0.0000000003,0.0000000000,0.3207344876,0.0017497188,0.0034899667,0.0052372237,0.1003023506,0.2000617864,0.3002230119,0.1735822822,0.3498413478,0.5232331832,9.9505766851,20.0545995542,29.9942589071
0.0200000000,9146.3395077165,29999.9935853102,994.5618329020,0.0008911194,0.3801564186,0.0006449765,-1.5638178222,-89.6456076428,0.0035081177,0.2011022860,0.0000000001,0.0000000000,0.1955698095,0.0000000003,0.0000000000,0.6414689753,0.0035082031,0.0069784622,0.0104769887,0.2011071814,0.4000392322,0.6005917090,0.1726286012,0.3506080702,0.5228675047,9.8959070747,20.0985517928,29.9732964505
0.0300000000,9146.3370630939,29999.9855669480,994.5618673310,0.0008911196,0.5702346280,0.0009674647,-1.5603308269,-89.4457161945,0.0052751440,0.3023967920,0.0000000001,0.0000000000,0.2933547144,0.0000000003,0.0000000000,0.9622034632,0.0052754329,0.0104653546,0.0157193993,0.3024133512,0.5999247850,0.9011120645,0.1716719270,0.3513659927,0.5225017664,9.8410658770,20.1419995794,29.9523305579
0.0400000000,9146.3336406222,29999.9743412410,994.5619155315,0.0008911200,0.7603128376,0.0012899528,-1.5568454683,-89.2459185645,0.0070507029,0.4041804215,0.0000000001,0.0000000000,0.3911396193,0.0000000003,0.0000000000,1.2829379514,0.0070513890,0.0139505120,0.0209645595,0.4042197540,0.7997108782,1.2017900348,0.1707123043,0.3521150910,0.5221359940,9.7860556579,20.1849415203,29.9313627111
0.0500000000,9146.3292403015,29999.9599081890,994.5619775036,0.0008911205,0.9503910475,0.0016124409,-1.5533618444,-89.0462203806,0.0088347100,0.5064483434,0.0000000001,0.0000000000,0.4889245244,0.0000000003,0.0000000000,1.6036724400,0.0088360528,0.0174338021,0.0262125727,0.5065253180,0.9993899311,1.5026315587,0.1697497779,0.3528553413,0.5217702131,9.7308789862,20.2273762538,29.9103943817
0.0600000000,9146.3238621318,29999.9422677922,994.5620532473,0.0008911211,1.1404692576,0.0019349290,-1.5498800532,-88.8466272533,0.0106270811,0.6091957339,0.0000000001,0.0000000000,0.5867094296,0.0000000004,0.0000000001,1.9244069290,0.0106294060,0.0209150925,0.0314635424,0.6093290054,1.1989543490,1.8036425573,0.1687843927,0.3535867205,0.5214044493,9.6755384332,20.2693024508,29.8894270305
0.0700000000,9146.3175061129,29999.9214200504,994.5621427626,0.0008911218,1.3305474681,0.0022574169,-1.5464001922,-88.6471447741,0.0124277323,0.7124177773,0.0000000001,0.0000000000,0.6844943350,0.0000000004,0.0000000001,2.2451414187,0.0124314312,0.0243942505,0.0367175714,0.7126298119,1.3983965232,2.1048289331,0.1678161935,0.3543092060,0.5210387279,9.6200365728,20.3107188146,29.8684621075
0.0800000000,9146.3101722451,29999.8973649638,994.5622460494,0.0008911225,1.5206256790,0.0025799048,-1.5429223586,-88.4477785163,0.0142365797,0.8161096666,0.0000000001,0.0000000000,0.7822792406,0.0000000004,0.0000000001,2.5658759091,0.0142421114,0.0278711429,0.0419747624,0.8164267665,1.5977088309,2.4061965693,0.1668452254,0.3550227756,0.5206730739,9.5643759809,20.3516240809,29.8475010518
0.0900000000,9146.3018605281,29999.8701025322,994.5623631079,0.0008911234,1.7107038903,0.0029023926,-1.5394466493,-88.2485340346,0.0160535397,0.9202666044,0.0000000001,0.0000000000,0.8800641464,0.0000000004,0.0000000001,2.8866104002,0.0160614302,0.0313456368,0.0472352176,0.9207189305,1.7968836357,2.7077513296,0.1658715333,0.3557274080,0.5203075123,9.5085592355,20.3920170176,29.8265452911
0.1000000000,9146.2925709621,29999.8396327558,994.5624939379,0.0008911244,1.9007821022,0.0032248802,-1.5359731609,-88.0494168660,0.0178785286,1.0248838031,0.0000000001,0.0000000000,0.9778490525,0.0000000004,0.0000000001,3.2073448922,0.0178893719,0.0348175985,0.0524990391,1.0255053974,1.9959132872,3.0094990571,0.1648951622,0.3564230821,0.5199420678,9.4525889165,20.4318964249,29.8055962421
0.1100000000,9146.2823035471,29999.8059556344,994.5626385395,0.0008911255,2.0908603147,0.0035473677,-1.5325019897,-87.8504325296,0.0197114631,1.1299564862,0.0000000001,0.0000000000,1.0756339589,0.0000000004,0.0000000001,3.5280793853,0.0197259212,0.0382868943,0.0577663283,1.1307852922,2.1947901217,3.3114455740,0.1639161571,0.3571097776,0.5195767648,9.3964676054,20.4712611355,29.7846553096
0.1200000000,9146.2710582830,29999.7690711681,994.5627969126,0.0008911268,2.2809385278,0.0038698551,-1.5290332317,-87.6515865278,0.0215522603,1.2354798882,0.0000000001,0.0000000000,1.1734188657,0.0000000004,0.0000000001,3.8488138794,0.0215710633,0.0417533905,0.0630371865,1.2365577710,2.3935064618,3.6135966809,0.1629345631,0.3577874747,0.5192116278,9.3401978851,20.5101100139,29.7637238871
0.1300000000,9146.2588351698,29999.7289793568,994.5629690574,0.0008911281,2.4710167416,0.0041923423,-1.5255669825,-87.4528843457,0.0234008370,1.3414492561,0.0000000001,0.0000000000,1.2712037728,0.0000000004,0.0000000001,4.1695483746,0.0234247841,0.0452169528,0.0683117145,1.3428220202,2.5920546165,3.9159581560,0.1619504253,0.3584561541,0.5188466808,9.2837823398,20.5484419572,29.7428033560
0.1400000000,9146.2456342075,29999.6856802006,994.5631549737,0.0008911295,2.6610949562,0.0045148293,-1.5221033376,-87.2543314524,0.0252571107,1.4478598493,0.0000000001,0.0000000000,1.3689886802,0.0000000004,0.0000000001,4.4902828712,0.0252870699,0.0486774467,0.0735900126,1.4495772564,2.7904268816,4.2185357548,0.1609637887,0.3591157973,0.5184819476,9.2272235549,20.5862558944,29.7218950858
0.1500000000,9146.2314553962,29999.6391736994,994.5633546616,0.0008911310,2.8511731716,0.0048373161,-1.5186423920,-87.0559333008,0.0271209989,1.5547069405,0.0000000001,0.0000000000,1.4667735882,0.0000000004,0.0000000002,4.8110173692,0.0271579075,0.0521347378,0.0788721809,1.5568227251,2.9886155399,4.5213352090,0.1599746985,0.3597663859,0.5181174520,9.1705241164,20.6235507865,29.7010004338
0.1600000000,9146.2162987357,29999.5894598532,994.5635681211,0.0008911326,3.0412513879,0.0051598028,-1.5151842407,-86.8576953283,0.0289924192,1.6619858162,0.0000000001,0.0000000000,1.5645584965,0.0000000004,0.0000000002,5.1317518686,0.0290372843,0.0555886910,0.0841583188,1.6645577008,3.1866128608,4.8243622263,0.1589831998,0.3604079026,0.5177532174,9.1136866113,20.6603256267,29.6801207450
0.1700000000,9146.2001642262,29999.5365386620,994.5637953522,0.0008911344,3.2313296051,0.0054822892,-1.5117289783,-86.6596229571,0.0308712899,1.7696917776,0.0000000001,0.0000000001,1.6623434054,0.0000000004,0.0000000002,5.4524863696,0.0309251881,0.0590391714,0.0894485256,1.7727814859,3.3844111010,5.1276224893,0.1579893377,0.3610403302,0.5173892671,9.0567136271,20.6965794402,29.6592573517
0.1800000000,9146.1830518676,29999.4804101258,994.5640363549,0.0008911362,3.4214078233,0.0058047754,-1.5082766989,-86.4617215945,0.0327575291,1.8778201407,0.0000000001,0.0000000001,1.7601283147,0.0000000004,0.0000000002,5.7732208722,0.0328216073,0.0624860437,0.0947429000,1.8814934103,3.5820025041,5.4311216550,0.1569931574,0.3616636524,0.5170256241,8.9996077514,20.7323112838,29.6384115740
0.1900000000,9146.1649616599,29999.4210742446,994.5642911291,0.0008911382,3.6114860425,0.0061272614,-1.5048274968,-86.2639966337,0.0346510555,1.9863662372,0.0000000001,0.0000000001,1.8579132246,0.0000000004,0.0000000002,6.0939553767,0.0347265305,0.0659291723,0.1000415401,1.9906928307,3.7793793014,5.7348653542,0.1559947041,0.3622778532,0.5166623112,8.9423715724,20.7675202466,29.6175847188
0.2000000000,9146.1458936031,29999.3585310183,994.5645596749,0.0008911402,3.8015642629,0.0064497471,-1.5013814658,-86.0664534535,0.0365517878,2.0953254149,0.0000000001,0.0000000001,1.9556981351,0.0000000004,0.0000000002,6.4146898830,0.0366399470,0.0693684214,0.1053445437,2.1003791299,3.9765337112,6.0388591909,0.1549940228,0.3628829173,0.5162993510,8.8850076779,20.8022054492,29.5967780803
0.2100000000,9146.1258476972,29999.2927804469,994.5648419923,0.0008911424,3.9916424844,0.0067722325,-1.4979386994,-85.8690974195,0.0384596452,2.2046930383,0.0000000001,0.0000000001,2.0534830461,0.0000000004,0.0000000002,6.7354243913,0.0385618466,0.0728036552,0.1106520080,2.2105517158,4.1734579397,6.3431087410,0.1539911588,0.3634788299,0.5159367657,8.8275186559,20.8363660440,29.5759929395
0.2200000000,9146.1048239422,29999.2238225304,994.5651380813,0.0008911446,4.1817207071,0.0070947177,-1.4944992911,-85.6719338839,0.0403745472,2.3144644891,0.0000000001,0.0000000001,2.1512679578,0.0000000004,0.0000000002,7.0561589017,0.0404922193,0.0762347374,0.1159640300,2.3212100215,4.3701441810,6.6476195524,0.1529861571,0.3640655768,0.5155745776,8.7699070936,20.8700012150,29.5552305644
0.2300000000,9146.0828223381,29999.1516572689,994.5654479418,0.0008911470,4.3717989312,0.0074172026,-1.4910633339,-85.4749681862,0.0422964135,2.4246351667,0.0000000001,0.0000000001,2.2490528702,0.0000000004,0.0000000002,7.3768934142,0.0424310556,0.0796615316,0.1212807057,2.4323535038,4.5665846168,6.9523971435,0.1519790629,0.3646431442,0.5152128085,8.7121755782,20.9031101781,29.5344922094
0.2400000000,9146.0598428848,29999.0762846621,994.5657715740,0.0008911495,4.5618771565,0.0077396872,-1.4876309208,-85.2782056535,0.0442251641,2.5352004886,0.0000000001,0.0000000001,2.3468377832,0.0000000004,0.0000000002,7.6976279290,0.0443783464,0.0830839014,0.1266021311,2.5439816426,4.7627714170,7.2574470031,0.1509699212,0.3652115191,0.5148514801,8.6543266958,20.9356921804,29.5137791156
0.2500000000,9146.0358855824,29998.9977047103,994.5661089777,0.0008911521,4.7519553833,0.0080621714,-1.4842021446,-85.0816516007,0.0461607194,2.6461558913,0.0000000001,0.0000000001,2.4446226970,0.0000000004,0.0000000003,8.0183624461,0.0463340832,0.0865017098,0.1319284012,2.6560939404,4.9586967400,7.5627745892,0.1499587773,0.3657706890,0.5144906138,8.5963630319,20.9677465006,29.4930925103
0.2600000000,9146.0109504309,29998.9159174132,994.5664601530,0.0008911548,4.9420336116,0.0083846553,-1.4807770977,-84.8853113313,0.0481030003,2.7574968301,0.0000000001,0.0000000001,2.5424076115,0.0000000004,0.0000000003,8.3390969658,0.0482982575,0.0899148199,0.1372596107,2.7686899214,5.1543527325,7.8683853285,0.1489456762,0.3663206416,0.5141302307,8.5382871709,20.9992724486,29.4724336073
0.2700000000,9145.9850374302,29998.8309227709,994.5668250999,0.0008911575,5.1321118413,0.0087071389,-1.4773558724,-84.6891901376,0.0500519276,2.8692187802,0.0000000001,0.0000000001,2.6401925268,0.0000000004,0.0000000003,8.6598314880,0.0502708615,0.0933230945,0.1425958538,2.8817691307,5.3497315297,8.1742846155,0.1479306629,0.3668613656,0.5137703518,8.4801016960,21.0302693660,29.4518036062
0.2800000000,9145.9581465803,29998.7427207834,994.5672038184,0.0008911604,5.3221900727,0.0090296221,-1.4739385609,-84.4932933010,0.0520074229,2.9813172367,0.0000000001,0.0000000001,2.7379774429,0.0000000004,0.0000000003,8.9805660128,0.0522518875,0.0967263961,0.1479372240,2.9953311333,5.5448252558,8.4804778117,0.1469137825,0.3673928500,0.5134109978,8.4218091890,21.0607366254,29.4312036929
0.2900000000,9145.9302778813,29998.6513114507,994.5675963084,0.0008911634,5.5122683056,0.0093521049,-1.4705252552,-84.2976260923,0.0539694079,3.0937877153,0.0000000001,0.0000000001,2.8357623599,0.0000000004,0.0000000003,9.3013005404,0.0542413284,0.1001245873,0.1532838143,3.1093755136,5.7396260243,8.7869702449,0.1458950800,0.3679150844,0.5130521890,8.3634122305,21.0906736303,29.4106350391
0.3000000000,9145.9014313331,29998.5566947726,994.5680025700,0.0008911665,5.7023465403,0.0096745874,-1.4671160469,-84.1021937723,0.0559378048,3.2066257525,0.0000000001,0.0000000001,2.9335472777,0.0000000004,0.0000000003,9.6220350709,0.0562391771,0.1035175302,0.1586357169,3.2239018744,5.9341259374,9.0937672085,0.1448746004,0.3684280590,0.5126939458,8.3049133990,21.1200798157,29.3900988022
0.3100000000,9145.8716069357,29998.4588707493,994.5684226033,0.0008911698,5.8924247767,0.0099970695,-1.4637110278,-83.9070015923,0.0579125360,3.3198269063,0.0000000001,0.0000000001,3.0313321964,0.0000000004,0.0000000003,9.9427696043,0.0582454271,0.1069050870,0.1639930235,3.3389098360,6.1283170872,9.4008739604,0.1438523886,0.3689317644,0.5123362880,8.2463152714,21.1489546474,29.3695961253
0.3200000000,9145.8408046892,29998.3578393805,994.5688564080,0.0008911731,6.0825030149,0.0103195511,-1.4603102892,-83.7120547940,0.0598935245,3.4333867564,0.0000000001,0.0000000001,3.1291171161,0.0000000004,0.0000000003,10.2635041407,0.0602600721,0.1102871194,0.1693558254,3.4543990351,6.3221915554,9.7082957223,0.1428284896,0.3694261919,0.5119792353,8.1876204228,21.1772976220,29.3491281371
0.3300000000,9145.8090245934,29998.2536006664,994.5693039844,0.0008911765,6.2725812550,0.0106420323,-1.4569139224,-83.5173586103,0.0618806936,3.5473009045,0.0000000001,0.0000000001,3.2269020367,0.0000000004,0.0000000003,10.5842386804,0.0622831058,0.1136634891,0.1747242128,3.5703691245,6.5157414136,10.0160376789,0.1418029482,0.3699113331,0.5116228072,8.1288314258,21.2051082670,29.3286959516
0.3400000000,9145.7762666485,29998.1461546069,994.5697653324,0.0008911800,6.4626594970,0.0109645131,-1.4535220186,-83.3229182654,0.0638739668,3.6615649749,0.0000000001,0.0000000001,3.3246869583,0.0000000004,0.0000000004,10.9049732232,0.0643145227,0.1170340577,0.1800982757,3.6868197716,6.7089587236,10.3241049772,0.1407758093,0.3703871805,0.5112670228,8.0699508510,21.2323861407,29.3083006682
0.3500000000,9145.7425308543,29998.0355012020,994.5702404519,0.0008911836,6.6527377410,0.0112869934,-1.4501346688,-83.1287389753,0.0658732683,3.7761746147,0.0000000001,0.0000000001,3.4224718809,0.0000000005,0.0000000004,11.2257077695,0.0663543170,0.1203986866,0.1854781031,3.8037506579,6.9018355375,10.6325027251,0.1397471176,0.3708537267,0.5109119010,8.0109812664,21.2591308318,29.2879433716
0.3600000000,9145.7078172108,29997.9216404515,994.5707293430,0.0008911874,6.8428159871,0.0116094733,-1.4467519638,-82.9348259481,0.0678785225,3.8911254941,0.0000000001,0.0000000001,3.5202568046,0.0000000005,0.0000000004,11.5464423191,0.0684024836,0.1237572369,0.1908637834,3.9211614775,7.0943638982,10.9412359913,0.1387169180,0.3713109653,0.5105574606,7.9519252375,21.2853419598,29.2676251316
0.3700000000,9145.6721257182,29997.8045723556,994.5712320057,0.0008911912,7.0328942352,0.0119319527,-1.4433739943,-82.7411843845,0.0698896544,4.0064133070,0.0000000001,0.0000000001,3.6180417294,0.0000000005,0.0000000004,11.8671768724,0.0704590171,0.1271095696,0.1962554044,4.0390519368,7.2865358395,11.2503098038,0.1376852552,0.3717588900,0.5102037199,7.8927853271,21.3110191743,29.2473470029
0.3800000000,9145.6354563762,29997.6842969141,994.5717484400,0.0008911952,7.2229724856,0.0122544316,-1.4400008509,-82.5478194779,0.0719065891,4.1220337711,0.0000000001,0.0000000001,3.7158266553,0.0000000005,0.0000000004,12.1879114292,0.0725239128,0.1304555457,0.2016530529,4.1574217530,7.4783433864,11.5597291493,0.1366521737,0.3721974954,0.5098506971,7.8335640951,21.3361621556,29.2271100252
0.3900000000,9145.5978091851,29997.5608141270,994.5722786459,0.0008911992,7.4130507381,0.0125769100,-1.4366326241,-82.3547364148,0.0739292525,4.2379826280,0.0000000001,0.0000000001,3.8136115823,0.0000000005,0.0000000004,12.5086459899,0.0745971658,0.1337950259,0.2070568154,4.2762706533,7.6697785553,11.8694989721,0.1356177182,0.3726267763,0.5094984100,7.7742640982,21.3607706140,29.2069152232
0.4000000000,9145.5591841446,29997.4341239943,994.5728226234,0.0008912034,7.6031289929,0.0128993878,-1.4332694043,-82.1619403753,0.0759575707,4.3542556441,0.0000000001,0.0000000001,3.9113965105,0.0000000005,0.0000000004,12.8293805543,0.0766787716,0.1371278707,0.2124667772,4.3955983740,7.8608333545,12.1796241734,0.1345819332,0.3730467282,0.5091468762,7.7148878901,21.3848442900,29.1867636061
0.4100000000,9145.5195812548,29997.3042265159,994.5733803724,0.0008912077,7.7932072500,0.0132218652,-1.4299112817,-81.9694365334,0.0779914702,4.4708486103,0.0000000001,0.0000000001,4.0091814398,0.0000000005,0.0000000004,13.1501151227,0.0787687257,0.1404539407,0.2178830232,4.5154046592,8.0514997843,12.4901096102,0.1335448633,0.3734573471,0.5087961132,7.6554380213,21.4083829542,29.1666561680
0.4200000000,9145.4790005158,29997.1711216918,994.5739518930,0.0008912120,7.9832855096,0.0135443419,-1.4265583466,-81.7772300571,0.0800308781,4.5877573426,0.0000000001,0.0000000001,4.1069663705,0.0000000005,0.0000000004,13.4708496951,0.0808670238,0.1437730960,0.2233056372,4.6356892598,8.2417698372,12.8009600946,0.1325065528,0.3738586295,0.5084461378,7.5959170386,21.4313864069,29.1465938875
0.4300000000,9145.4374419274,29997.0348095220,994.5745371852,0.0008912165,8.1733637716,0.0138668182,-1.4232106888,-81.5853261090,0.0820757218,4.7049776821,0.0000000001,0.0000000001,4.2047513024,0.0000000005,0.0000000005,13.7915842717,0.0829736615,0.1470851970,0.2287347024,4.7564519327,8.4316354986,13.1121803923,0.1314670461,0.3742505726,0.5080969670,7.5363274854,21.4538544785,29.1265777277
0.4400000000,9145.3949054897,29996.8952900064,994.5751362490,0.0008912211,8.3634420361,0.0141892938,-1.4198683984,-81.3937298465,0.0841259292,4.8225054955,0.0000000001,0.0000000001,4.3025362355,0.0000000005,0.0000000005,14.1123188525,0.0850886348,0.1503901037,0.2341703011,4.8776924395,8.6210887468,13.4237752223,0.1304263876,0.3746331737,0.5077486173,7.4766719013,21.4757870289,29.1066086362
0.4500000000,9145.3513912027,29996.7525631449,994.5757490844,0.0008912258,8.5535203031,0.0145117689,-1.4165315654,-81.2024464220,0.0861814287,4.9403366754,0.0000000001,0.0000000001,4.4003211700,0.0000000005,0.0000000005,14.4330534377,0.0872119395,0.1536876760,0.2396125148,4.9994105452,8.8101215534,13.7357492554,0.1293846215,0.3750064311,0.5074011049,7.4169528220,21.4971839479,29.0866875448
0.4600000000,9145.3068990663,29996.6066289376,994.5763756914,0.0008912305,8.7435985728,0.0148342434,-1.4132002794,-81.0114809834,0.0882421490,5.0584671399,0.0000000001,0.0000000001,4.4981061059,0.0000000005,0.0000000005,14.7537880273,0.0893435716,0.1569777737,0.2450614241,5.1216060176,8.9987258836,14.0481071137,0.1283417918,0.3753703432,0.5070544459,7.3571727792,21.5180451544,29.0668153699
0.4700000000,9145.2614290806,29996.4574873843,994.5770160699,0.0008912354,8.9336768452,0.0151567173,-1.4098746302,-80.8208386745,0.0903080194,5.1768928337,0.0000000001,0.0000000002,4.5958910431,0.0000000005,0.0000000005,15.0745226214,0.0914835271,0.1602602567,0.2505171088,5.2442786256,9.1868936967,14.3608533690,0.1272979428,0.3757249093,0.5067086559,7.2973343007,21.5383705971,29.0469930118
0.4800000000,9145.2149812455,29996.3051384851,994.5776702200,0.0008912404,9.1237551204,0.0154791905,-1.4065547075,-80.6305246347,0.0923789697,5.2956097276,0.0000000001,0.0000000002,4.6936759817,0.0000000005,0.0000000005,15.3952572201,0.0936318020,0.1635349845,0.2559796477,5.3674281384,9.3746169464,14.6739925423,0.1262531184,0.3760701289,0.5063637503,7.2374399097,21.5581602536,29.0272213552
0.4900000000,9145.1675555610,29996.1495822399,994.5783381417,0.0008912455,9.3138333983,0.0158016631,-1.4032406009,-80.4405440000,0.0944549300,5.4146138190,0.0000000001,0.0000000002,4.7914609218,0.0000000005,0.0000000005,15.7159918236,0.0957883921,0.1668018167,0.2614491188,5.4910543245,9.5618875808,14.9875291025,0.1252073626,0.3764060021,0.5060197444,7.1774921252,21.5774141309,29.0075012689
0.5000000000,9145.1191520270,29995.9908186487,994.5790198350,0.0008912508,9.5039116791,0.0161241350,-1.3999323999,-80.2509019030,0.0965358309,5.5339011321,0.0000000002,0.0000000002,4.8892458634,0.0000000005,0.0000000005,16.0367264319,0.0979532935,0.1700606127,0.2669255991,5.6151569499,9.7486975435,15.3014674654,0.1241607193,0.3767325295,0.5056766529,7.1174934618,21.5961322649,28.9878336055
0.5100000000,9145.0697706437,29995.8288477113,994.5797152999,0.0008912561,9.6939899628,0.0164466063,-1.3966301939,-80.0616034731,0.0986216035,5.6534677178,0.0000000002,0.0000000002,4.9870308064,0.0000000005,0.0000000005,16.3574610451,0.1001265019,0.1733112319,0.2724091648,5.7397357775,9.9350387734,15.6158119927,0.1231132322,0.3770497123,0.5053344905,7.0574464292,21.6143147206,28.9682192019
0.5200000000,9145.0194114109,29995.6636694278,994.5804245364,0.0008912615,9.8840682495,0.0167690769,-1.3933340725,-79.8726538368,0.1007121795,5.7733096541,0.0000000002,0.0000000002,5.0848157510,0.0000000005,0.0000000006,16.6781956634,0.1023080132,0.1765535337,0.2778998908,5.8647905656,10.1209032051,15.9305669909,0.1220649450,0.3773575522,0.5049932716,6.9973535325,21.6319615917,28.9486588787
0.5300000000,9144.9680743287,29995.4952837980,994.5811475444,0.0008912670,10.0741465392,0.0170915469,-1.3900441249,-79.6840581179,0.1028074909,5.8934230461,0.0000000002,0.0000000002,5.1826006972,0.0000000005,0.0000000006,16.9989302868,0.1044978231,0.1797873772,0.2833978515,5.9903210666,10.3062827698,16.2457367102,0.1210159013,0.3776560512,0.5046530100,6.9372172718,21.6490730006,28.9291534407
0.5400000000,9144.9157593970,29995.3236908220,994.5818843241,0.0008912727,10.2642248320,0.0174140161,-1.3867604406,-79.4958214380,0.1049074702,6.0138040263,0.0000000002,0.0000000002,5.2803856449,0.0000000005,0.0000000006,17.3196649154,0.1066959270,0.1830126217,0.2889031199,6.1163270261,10.4911693951,16.5613253435,0.1199661447,0.3779452120,0.5043137197,6.8770401424,21.6656490982,28.9097036761
0.5500000000,9144.8624666158,29995.1488904997,994.5826348753,0.0008912784,10.4543031280,0.0177364846,-1.3834831089,-79.3079489167,0.1070120505,6.1344487545,0.0000000002,0.0000000002,5.3781705943,0.0000000005,0.0000000006,17.6403995493,0.1089023205,0.1862291262,0.2944157681,6.2428081813,10.6755550058,16.8773370252,0.1189157186,0.3782250378,0.5039754140,6.8168246342,21.6816900640,28.8903103573
0.5600000000,9144.8081959851,29994.9708828310,994.5833991981,0.0008912842,10.6443814272,0.0180589523,-1.3802122189,-79.1204456715,0.1091211652,6.2553534179,0.0000000002,0.0000000002,5.4759555453,0.0000000005,0.0000000006,17.9611341886,0.1111169988,0.1894367499,0.2999358673,6.3697642600,10.8594315242,17.1937758302,0.1178646664,0.3784955321,0.5036381062,6.7565732321,21.6971961057,28.8709742404
0.5700000000,9144.7529475049,29994.7896678159,994.5841772925,0.0008912902,10.8344597297,0.0183814193,-1.3769478601,-78.9333168185,0.1112347483,6.3765142314,0.0000000002,0.0000000002,5.5737404980,0.0000000005,0.0000000006,18.2818688335,0.1133399569,0.1926353519,0.3054634874,6.4971949790,11.0427908706,17.5106457725,0.1168130312,0.3787566990,0.5033018091,6.6962884154,21.7121674594,28.8516960649
0.5800000000,9144.6967211751,29994.6052454543,994.5849691585,0.0008912962,11.0245380354,0.0187038856,-1.3736901215,-78.7465674722,0.1133527342,6.4979274375,0.0000000002,0.0000000002,5.6715254524,0.0000000005,0.0000000006,18.6026034840,0.1155711896,0.1958247910,0.3109986974,6.6251000429,11.2256249639,17.8279508046,0.1157608564,0.3790085432,0.5029665354,6.6359726581,21.7266043889,28.8324765544
0.5900000000,9144.6395169958,29994.4176157462,994.5857747961,0.0008913024,11.2146163446,0.0190263511,-1.3704390923,-78.5602027462,0.1154750579,6.6195893066,0.0000000002,0.0000000002,5.7693104086,0.0000000005,0.0000000006,18.9233381401,0.1178106917,0.1990049265,0.3165415651,6.7534791432,11.4079257215,18.1456948156,0.1147081848,0.3792510698,0.5026322975,6.5756284285,21.7405071864,28.8133164160
0.6000000000,9144.5813349669,29994.2267786915,994.5865942052,0.0008913087,11.4046946572,0.0193488158,-1.3671948619,-78.3742277528,0.1176016548,6.7414961365,0.0000000002,0.0000000002,5.8670953665,0.0000000005,0.0000000006,19.2440728022,0.1200584575,0.2021756172,0.3220921573,6.8823319563,11.5896850606,18.4638816308,0.1136550595,0.3794842843,0.5022991073,6.5152581892,21.7538761717,28.7942163404
0.6100000000,9144.5221750885,29994.0327342902,994.5874273860,0.0008913150,11.5947729734,0.0196712797,-1.3639575193,-78.1886476041,0.1197324609,6.8636442532,0.0000000002,0.0000000002,5.9648803262,0.0000000005,0.0000000007,19.5648074701,0.1223144809,0.2053367221,0.3276505396,7.0116581425,11.7708948978,18.7825150101,0.1126015234,0.3797081929,0.5019669766,6.4548643971,21.7667116921,28.7751770018
0.6200000000,9144.4620373604,29993.8354825421,994.5882743383,0.0008913215,11.7848512930,0.0199937428,-1.3607271537,-78.0034674111,0.1218674124,6.9860300103,0.0000000002,0.0000000002,6.0626652878,0.0000000005,0.0000000007,19.8855421440,0.1245787559,0.2084881003,0.3332167764,7.1414573449,11.9515471505,19.1015986468,0.1115476191,0.3799228019,0.5016359169,6.3944495029,21.7790141230,28.7561990584
0.6300000000,9144.4009217827,29993.6350234473,994.5891350623,0.0008913281,11.9749296164,0.0203162051,-1.3575038543,-77.8186922848,0.1240064463,7.1086497895,0.0000000002,0.0000000002,6.1604502512,0.0000000005,0.0000000007,20.2062768240,0.1268512758,0.2116296107,0.3387909309,7.2717291874,12.1316337365,19.4211361666,0.1104933894,0.3801281186,0.5013059394,6.3340159515,21.7907838666,28.7372831514
0.6400000000,9144.3388283554,29993.4313570056,994.5900095578,0.0008913348,12.1650079433,0.0206386665,-1.3542877102,-77.6343273361,0.1261495000,7.2315000002,0.0000000002,0.0000000002,6.2582352165,0.0000000005,0.0000000007,20.5270115103,0.1291320338,0.2147611125,0.3443730652,7.4024732740,12.3111465753,19.7411311265,0.1094388767,0.3803241503,0.5009770550,6.2735661816,21.8020213530,28.7184299059
0.6500000000,9144.2757570784,29993.2244832171,994.5908978249,0.0008913416,12.3550862741,0.0209611271,-1.3510788106,-77.4503776757,0.1282965113,7.3545770799,0.0000000002,0.0000000002,6.3560201838,0.0000000005,0.0000000007,20.8477462028,0.1314210225,0.2178824646,0.3499632401,7.5336891868,12.4900775882,20.0615870131,0.1083841236,0.3805109050,0.5006492743,6.2131026255,21.8127270392,28.6996399305
